numr, guz2, hizb, rub3, surah, ayah, first_5_words
1, 1, 1, 1, 1, 1, بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ
2, 1, 1, 2, 2, 26, إِنَّ ٱللَّهَ لَا يَسۡتَحۡيِۦٓ
3, 1, 1, 3, 2, 44, أَتَأۡمُرُونَ ٱلنَّاسَ بِٱلۡبِرِّ وَتَنسَوۡنَ
4, 1, 1, 4, 2, 60, وَإِذِ ٱسۡتَسۡقَىٰ مُوسَىٰ لِقَوۡمِهِۦ
5, 1, 2, 1, 2, 75, أَفَتَطۡمَعُونَ أَن يُؤۡمِنُواْ لَكُمۡ
6, 1, 2, 2, 2, 92, وَلَقَدۡ جَآءَكُم مُّوسَىٰ بِٱلۡبَيِّنَٰتِ
7, 1, 2, 3, 2, 106, مَا نَنسَخۡ مِنۡ ءَايَةٍ
8, 1, 2, 4, 2, 124, وَإِذِ ٱبۡتَلَىٰٓ إِبۡرَٰهِـۧمَ رَبُّهُۥ
9, 2, 3, 1, 2, 142, سَيَقُولُ ٱلسُّفَهَآءُ مِنَ ٱلنَّاسِ
10, 2, 3, 2, 2, 158, إِنَّ ٱلصَّفَا وَٱلۡمَرۡوَةَ مِن
11, 2, 3, 3, 2, 177, لَّيۡسَ ٱلۡبِرَّ أَن تُوَلُّواْ
12, 2, 3, 4, 2, 189, يَسۡـَٔلُونَكَ عَنِ ٱلۡأَهِلَّةِۖ قُلۡ
13, 2, 4, 1, 2, 203, وَٱذۡكُرُواْ ٱللَّهَ فِيٓ أَيَّامٖ
14, 2, 4, 2, 2, 219, يَسۡـَٔلُونَكَ عَنِ ٱلۡخَمۡرِ وَٱلۡمَيۡسِرِۖ
15, 2, 4, 3, 2, 233, وَٱلۡوَٰلِدَٰتُ يُرۡضِعۡنَ أَوۡلَٰدَهُنَّ حَوۡلَيۡنِ
16, 2, 4, 4, 2, 243, أَلَمۡ تَرَ إِلَى ٱلَّذِينَ
17, 3, 5, 1, 2, 253, تِلۡكَ ٱلرُّسُلُ فَضَّلۡنَا بَعۡضَهُمۡ
18, 3, 5, 2, 2, 263, قَوۡلٞ مَّعۡرُوفٞ وَمَغۡفِرَةٌ خَيۡرٞ
19, 3, 5, 3, 2, 272, لَّيۡسَ عَلَيۡكَ هُدَىٰهُمۡ وَلَٰكِنَّ
20, 3, 5, 4, 2, 283, وَإِن كُنتُمۡ عَلَىٰ سَفَرٖ
21, 3, 6, 1, 3, 15, قُلۡ أَؤُنَبِّئُكُم بِخَيۡرٖ مِّن
22, 3, 6, 2, 3, 33, إِنَّ ٱللَّهَ ٱصۡطَفَىٰٓ ءَادَمَ
23, 3, 6, 3, 3, 52, فَلَمَّآ أَحَسَّ عِيسَىٰ مِنۡهُمُ
24, 3, 6, 4, 3, 75, وَمِنۡ أَهۡلِ ٱلۡكِتَٰبِ مَنۡ
25, 4, 7, 1, 3, 93, كُلُّ ٱلطَّعَامِ كَانَ حِلّٗا
26, 4, 7, 2, 3, 113, لَيۡسُواْ سَوَآءٗۗ مِّنۡ أَهۡلِ
27, 4, 7, 3, 3, 133, وَسَارِعُوٓاْ إِلَىٰ مَغۡفِرَةٖ مِّن
28, 4, 7, 4, 3, 153, إِذۡ تُصۡعِدُونَ وَلَا تَلۡوُۥنَ
29, 4, 8, 1, 3, 171, يَسۡتَبۡشِرُونَ بِنِعۡمَةٖ مِّنَ ٱللَّهِ
30, 4, 8, 2, 3, 186, لَتُبۡلَوُنَّ فِيٓ أَمۡوَٰلِكُمۡ وَأَنفُسِكُمۡ
31, 4, 8, 3, 4, 1, يَٰٓأَيُّهَا ٱلنَّاسُ ٱتَّقُواْ رَبَّكُمُ ٱلَّذِي
32, 4, 8, 4, 4, 12, وَلَكُمۡ نِصۡفُ مَا تَرَكَ
33, 5, 9, 1, 4, 24, وَٱلۡمُحۡصَنَٰتُ مِنَ ٱلنِّسَآءِ إِلَّا
34, 5, 9, 2, 4, 36, وَٱعۡبُدُواْ ٱللَّهَ وَلَا تُشۡرِكُواْ
35, 5, 9, 3, 4, 58, إِنَّ ٱللَّهَ يَأۡمُرُكُمۡ أَن
36, 5, 9, 4, 4, 74, فَلۡيُقَٰتِلۡ فِي سَبِيلِ ٱللَّهِ
37, 5, 10, 1, 4, 88, فَمَا لَكُمۡ فِي ٱلۡمُنَٰفِقِينَ
38, 5, 10, 2, 4, 100, وَمَن يُهَاجِرۡ فِي سَبِيلِ
39, 5, 10, 3, 4, 114, لَّا خَيۡرَ فِي كَثِيرٖ
40, 5, 10, 4, 4, 135, يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ كُونُواْ
41, 6, 11, 1, 4, 148, لَّا يُحِبُّ ٱللَّهُ ٱلۡجَهۡرَ
42, 6, 11, 2, 4, 163, إِنَّآ أَوۡحَيۡنَآ إِلَيۡكَ كَمَآ
43, 6, 11, 3, 5, 1, يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓاْ أَوۡفُواْ بِٱلۡعُقُودِۚ
44, 6, 11, 4, 5, 12, وَلَقَدۡ أَخَذَ ٱللَّهُ مِيثَٰقَ
45, 6, 12, 1, 5, 27, وَٱتۡلُ عَلَيۡهِمۡ نَبَأَ ٱبۡنَيۡ
46, 6, 12, 2, 5, 41, يَٰٓأَيُّهَا ٱلرَّسُولُ لَا يَحۡزُنكَ
47, 6, 12, 3, 5, 51, يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ لَا
48, 6, 12, 4, 5, 67, يَٰٓأَيُّهَا ٱلرَّسُولُ بَلِّغۡ مَآ
49, 7, 13, 1, 5, 82, لَتَجِدَنَّ أَشَدَّ ٱلنَّاسِ عَدَٰوَةٗ
50, 7, 13, 2, 5, 97, جَعَلَ ٱللَّهُ ٱلۡكَعۡبَةَ ٱلۡبَيۡتَ
51, 7, 13, 3, 5, 109, يَوۡمَ يَجۡمَعُ ٱللَّهُ ٱلرُّسُلَ
52, 7, 13, 4, 6, 13, وَلَهُۥ مَا سَكَنَ فِي
53, 7, 14, 1, 6, 36, إِنَّمَا يَسۡتَجِيبُ ٱلَّذِينَ يَسۡمَعُونَۘ
54, 7, 14, 2, 6, 59, وَعِندَهُۥ مَفَاتِحُ ٱلۡغَيۡبِ لَا
55, 7, 14, 3, 6, 74, وَإِذۡ قَالَ إِبۡرَٰهِيمُ لِأَبِيهِ
56, 7, 14, 4, 6, 95, إِنَّ ٱللَّهَ فَالِقُ ٱلۡحَبِّ
57, 8, 15, 1, 6, 111, وَلَوۡ أَنَّنَا نَزَّلۡنَآ إِلَيۡهِمُ
58, 8, 15, 2, 6, 127, لَهُمۡ دَارُ ٱلسَّلَٰمِ عِندَ
59, 8, 15, 3, 6, 141, وَهُوَ ٱلَّذِيٓ أَنشَأَ جَنَّٰتٖ
60, 8, 15, 4, 6, 151, قُلۡ تَعَالَوۡاْ أَتۡلُ مَا
61, 8, 16, 1, 7, 1, الٓمٓصٓ
62, 8, 16, 2, 7, 31, يَٰبَنِيٓ ءَادَمَ خُذُواْ زِينَتَكُمۡ
63, 8, 16, 3, 7, 47, وَإِذَا صُرِفَتۡ أَبۡصَٰرُهُمۡ تِلۡقَآءَ
64, 8, 16, 4, 7, 65, وَإِلَىٰ عَادٍ أَخَاهُمۡ هُودٗاۚ
